document_id,document_title,document_type,issuing_body,publication_date,url,relevance_to_project,notes
DOC011,Accelerating Federal Use of AI through Innovation Governance and Public Trust (M-25-21),OMB memorandum,Office of Management and Budget,2025-04-03,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,Update context only,Post-paper OMB memo to be used only in the later 2026 update phase.
DOC012,Driving Efficient Acquisition of Artificial Intelligence in Government (M-25-22),OMB memorandum,Office of Management and Budget,2025-04-03,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-22-Driving-Efficient-Acquisition-of-Artificial-Intelligence-in-Government.pdf,Update context only,Post-paper procurement memo to be used only in the later 2026 update phase.
DOC013,resources.data.gov,guidance portal,OMB / GSA / OGIS,2026-07-24,https://resources.data.gov,2026 update source,Used conservatively as public evidence of current federal data inventory and guidance infrastructure.
DOC014,Artificial Intelligence Research and Development - NITRD Program,program page,NITRD,2026-07-24,https://www.nitrd.gov/coordination-areas/ai/,2026 update source,Used for ongoing public evidence of federal AI R&D coordination and investment tracking.
DOC015,A Plan for Federal Engagement in Developing AI Technical Standards and Related Tools in response to Executive Order (EO 13859),standards plan page,NIST,2022-04-05,https://www.nist.gov/artificial-intelligence/plan-federal-engagement-developing-ai-technical-standards-and-related-tools,2026 update source,Used to confirm continued public availability of the technical standards engagement plan.
DOC016,Artificial intelligence | GSA,agency AI hub page,GSA,2026-07-10,https://www.gsa.gov/artificial-intelligence,2026 update source,"Used for AI CoE continuity, USAi, use cases, and governance resources."
DOC017,AI strategies and compliance plan | GSA,agency strategy and compliance page,GSA,2025-09-30,https://www.gsa.gov/artificial-intelligence/resources/ai-strategies-and-compliance-plan,2026 update source,Used as public evidence of posted agency strategy and compliance planning under M-25-21.
DOC018,AI Community of Practice | GSA,community page,GSA,2026-07-20,https://www.gsa.gov/artificial-intelligence/ai-community-of-practice,2026 update source,Used as public evidence of cross-agency AI collaboration activity.
DOC019,GSA Advances Tech Talent Strategy with New Presidential Innovation Fellows Class,news release,GSA,2026-04-23,https://www.gsa.gov/about-gsa/newsroom/news-releases/gsa-advances-tech-talent-strategy-with-new-presidential-innovation-fellows-class-04232026,2026 update source,Used to confirm active AI-focused Presidential Innovation Fellows work in 2026.
DOC020,Department of Justice | AI Inventory,agency AI inventory page,Department of Justice,2026-07-24,https://www.justice.gov/ai/ai-inventory,2026 update source,Used as evidence of a current public agency AI inventory and supporting governance process.
DOC021,AI Use Case Inventory | US EPA,agency AI inventory page,Environmental Protection Agency,2026-05-04,https://www.epa.gov/data/ai-use-case-inventory,2026 update source,Used as evidence of a current public agency AI inventory and its update cadence.
DOC022,AI Compliance Plan | US EPA,agency compliance page,Environmental Protection Agency,2025-10-30,https://www.epa.gov/data/ai-compliance-plan,2026 update source,Used as evidence of public agency strategy and compliance planning.
DOC023,The Artificial Intelligence Classification Policy and Talent Acquisition Guidance - The AI in Government Act of 2020,guidance PDF,OPM,2024-04-29,https://www.opm.gov/chcoc/transmittals/2024/The%20Artificial%20Intelligence%20Classification%20Policy%20and%20Talent%20Acquisition%20Guidance%20-%20The%20AI%20in%20Government%20Act%20of%202020.pdf,2026 update source,Used for current public evidence of OPM implementation progress on AI workforce requirements.
DOC024,Artificial Intelligence - FY 2024 Human Capital Reviews - OPM,oversight page,OPM,2026-07-24,https://www.opm.gov/policy-data-oversight/oversight-and-effectiveness/human-capital-reviews/fy-2024-human-capital-reviews/artificial-intelligence/,2026 update source,Used for public evidence of OPM AI workforce support and follow-on implementation activity.
DOC025,Fact Sheet: President Donald J. Trump Signs Historic Directive on AI in the National Security Enterprise,fact sheet,The White House,2026-06-05,https://www.whitehouse.gov/fact-sheets/2026/06/fact-sheet-president-donald-j-trump-signs-historic-directive-on-ai-in-the-national-security-enterprise/,2026 update source,Used as update-context evidence for national-security AI policy replacement logic.
